MT-168,3W Systems (Pvt) Limited,37-GCP Employees Cooperative Housing,Society Near Johar Town Lahore-54700,Lahore,Punjab,92-42-35956267-68,Miscellaneous,,,
MT-1,Acme,Lahore,,,Punjab,0323,Automotive Industry,,,
MT-179,Acro Tech,Office#10 3rd Floor Ali Tower MM Alam,Road Gulberg III Lahore,Lahore,Punjab,042-37024332,Panel Manufacturer,,,
MT-1160,Agro Food Processing (AFP) Facilities,Plot # 30-33 Industrial Estate,Phase II ,Multan,Punjab,+9261 9239452 ,Food Indusrty,,,
MT-114,Al Karam Textile Mills Karachi,H.T-/11 Landhi Karachi,,Landhi/Karachi,Sindh,0221 111 111 258,Textile Industry,,,headoffice@alkaram.com
MT-1135,Al Raheem Corporation ,Lahore,,Lahore,Punjab,03004449873,Miscellaneous,,,
MT-1139,Al-Sabir Electrical Services,25-A Bilal Town Multan Road,,Lahore,Punjab,(065) 202 9013,Miscellaneous,,,
MT-198,Alpine Industrialcon (Pvt) Ltd,305/2G.T Road Baghbanpura Lahore,,Lahore,Punjab,+92-42-36852313,OEM Industry,,,
MT-1136,ANC Foods (Pvt) Ltd. (Gourmet Pakistan),134~ 137 Indutrial Estates Phase II, ,multan,Punjab,00 92 321 18 81 025,Food Indusrty,,,
MT-113,Asia Petroleum Karachi,Zulifqarabad Oil Terminal Bin Qasim,,Bin Qasim/Karachi,Sindh,021 34100601-8,Petroleum Industry ,,,
MT-156,Asian Food Industries Limited,46-49 Industrial Area Gulberg III,Lahore 54660,Lahore,Punjab,92 111 666 123,Food Indusrty,,,
MT-170,AT- TAHUR (PVT) LTD,CB House  182-Abubakar Block New,Garden Town Lahore,Lahore,Punjan,92-111-666-647,Food Indusrty,,,
MT-1152,ATCOP (Al-Technique Pakistan),4th floor Dodhy Centre 52-E Jinah ,Avneu,Islamabad,Captial,051-9201528,Engineering,,,
MT-169,ATG Plant Automation,92-D Block Model Town Lahore,,Lahore,Punjab,+92-42-37044438,Automotive Industry,,,
MT-181,Atlas Honda Limited,26/27KM LHR-SKP Road Sheikhupura ,,Sheikhpura,Punjab,0563406501-6,Automotive Industry,,,
MT-1132,AVANCEON,19 Km Main Multan Road,,Lahore,Punjab,92.42.111940940 ,Miscellaneous,,,
MT-191,Bayer Pakistan (Pvt) Limited,Plot # 23 Sector #22 Korangi, Industrial Area Karachi,Karachi,Sindh,+92-21-35108073,Miscellaneous,,,
MT-163,Benz Maize Products International,Faisalabad,,Faisalabad,Punjab,041-2691686,Food Indusrty,,,
MT-152,Bestway Cement Ltd Chakwal,22-km kalarkahar-ChoaSaiden Shah Road,Village Tatral District Chakwal ,Chakwal,Punjab,+92 (0)543 584 559-63,Cement Industry ,,,
MT-153,Bestway Cement Ltd Hattar Unit,Suraj Gali Road Village Shadi Hattar,District Haripur K.P.K,Haripur,K.P.K,+92 (0)995 639261-3,Cement Industry ,,,
MT-1102,Billiton Petroleum (BHP),BHP Billiton Dadu Gas Field Dadu.,,Dadu,Sindh,051-111-247-725,Petroleum Industry ,,,
