MT-2005,Askari Cement Limited ,5th Floor AWT Plaza The Mall Road,Rawalpindi Cant,Rawalpindi ,Punjab,+92-51-9272434-5 9272438 927,Cement Industry ,,,
MT-1172,Bestway Cement Limited  (Farooqia Plant),Farooqia Hattar ,,District Haripur,K.P.K,+92 (0)995 639 501-4,Cement Industry ,,,
MT-152,Bestway Cement Ltd Chakwal,22-km kalarkahar-ChoaSaiden Shah Road,Village Tatral District Chakwal ,Chakwal,Punjab,+92 (0)543 584 559-63,Cement Industry ,,,
MT-153,Bestway Cement Ltd Hattar Unit,Suraj Gali Road Village Shadi Hattar,District Haripur K.P.K,Haripur,K.P.K,+92 (0)995 639261-3,Cement Industry ,,,
MT-13,D.G Khan Cement,9-A Khayaban-e-Sarwar ,Multan Road,Multan,Punjab,+92-42-36360153 ,Cement Industry ,,,
MT-2073,D.G Khan Cement  CO  LTD (HUB Project),House no : D-247 K.D.A,Scheme No 1/A, Karachi ,Sindh,042-111-113-333 Ext:3015,Cement Industry ,,,
MT-150,D.G Khan Cement Kalar kahar,P.O. Khairpur Kallar Kahar- Choa Saiden,Shah Road Distt. Chakwal,Chakwal,Punjab,+92-543-111-113-333,Cement Industry ,,,
MT-2021,Dandot Cement Company Limited,133-Y Commercial Area Phase-III DHA,,Lahore,Punjab,042-35692629 35742961 Ext: 1,Cement Industry ,,,
MT-1166,DDFC (Pvt.) Ltd,27 KM Multan Road ,,Lahore,Punjab,+92-42-37541422,Cement Industry ,,,
MT-291,Fauji Cement Company Limited,Fauji Tower 68 - Tipu Road,ChaklalaRawalpindi Cantt,Rawalpindi ,Punjab,+92 051 9280081-3 ,Cement Industry ,,,
MT-164,Fecto Cement LTD,Sangjani Dist. Islamabad Pakistan,,Islamabad,Federal Capial &amp;AJK,+92-51-2296065-8,Cement Industry ,,,
MT-151,Lafarge Pakistan Cement Ltd kallar kahar,18 B Kaghan Road F 8  Markaz Islamabad,,Chakwal,Punjab,+92-51-4020134,Cement Industry ,,,
MT-1103,Maple Leaf Cement Factory Limited,42- Lawrence RoadLahore Pakistan,,Lahore,Punjab,+92 (42)36278904-5,Cement Industry ,,,
MT-1109,PAKCEM LIMITED,18-B Kaghan Rd Islamabad,,Islamabad,Punjab,+92-051-4020106,Cement Industry ,,,
MT-1100,Pioneer Cement Limited,P.O Box NO. 50 Jauharabad District,Khushab,Khushab,Punjab,0454 898101-103,Cement Industry ,,,factory@pioneercement.com
MT-253,Power Cement,Head Office: Arif Habib Center 23 M.T,.Khan Road Karachi,Karachi,Sindh,+92-21-32468350-51,Cement Industry ,,,
